,Age,Gender,Home Language,Father Occupation,Mother Occupation,Number Of Siblings,Father Education,Mother Education,School Distance,Means to school,House Lighting,School Infrustructure,School Meal per day,School Cost,Family income source,Bangla,English,Math,Science,History,Social Science,Religious Study,Family Annual income,Extra Tution,Hours of study per day,Class Label,GPA,Attendance Parcentage
123,10-13 years,male,Bangla,Business,Home maker,Two Children,Masters/ Equivalent and above,primary,0.5-1 km,School Bus/Bus,Paraffin,Water,None,High,Own business,53,28,60,21,42,55,21,200000,No,3 hours,No,2,57.9
124,13-15 years,male,Bangla,Business,Worker,None,primary,None,4-5 km,Walk,Electricity,Toilet,None,Mediam,Own business,78,88,55,31,61,38,90,900000,No,2 hours,No,3.15,89.9
125,10-13 years,female,Bangla,Business,Public sector,None,secondary,secondary,2-3 km,Walk,Electricity,Teaching facilities,None,Mediam,Own business,53,92,30,90,47,63,47,150000,Yes,1 hours,No,3.01,80.8
126,15-18 years,female,Bangla,Agriculture,Home maker,None,Honors/ Equivalent ,Honors/Equivalent ,0-0.5 km,Walk,Other,Teaching facilities,None,Mediam,Farming,26,33,77,92,74,65,33,100000,Yes,3 hours,No,2.86,58
127,13-15 years,male,Bangla,Private sector,Home maker,Three Children,secondary,secondary,1-2 km,Rickshaw,Electricity,Water,Once,High,Casual Wage,26,35,82,42,33,36,28,250000,No,2 hours,No,2.01,52
128,15-18 years,female,Bangla,Agriculture,Home maker,Three Children,primary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Electricity,Once,Mediam,Farming,59,49,69,54,36,65,69,200000,No,0 to 30 minutes,Yes,2.86,54.2
129,10-13 years,male,Bangla,Private sector,Home maker,None,primary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,High,Casual Wage,40,22,43,22,91,42,32,300000,Yes,2 hours,No,2.09,66.1
130,10-13 years,female,Bangla,Agriculture,Home maker,None,Masters/ Equivalent and above,secondary,0-0.5 km,Bicycle/motorbike,Other,Teaching facilities,None,Low,Farming,29,82,84,28,55,29,22,700000,Yes,above 3 hours,No,2.35,74.1
131,15-18 years,male,Bangla,Agriculture,Home maker,Four or more,Honors/ Equivalent ,secondary,1-2 km,Bicycle/motorbike,Electricity,Toilet,None,High,Farming,25,76,79,41,22,60,78,850000,Yes,2 hours,No,2.72,50.3
132,13-15 years,female,Bangla,Immigrant,Home maker,Two Children,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Water,Once,Mediam,Remittance,69,82,54,34,68,62,69,500000,No,3 hours,No,3.13,73.3
133,13-15 years,male,Bangla,Unemployed,Public sector,Three Children,Masters/ Equivalent and above,Honors/Equivalent ,4-5 km,Rickshaw,Electricity,Teaching facilities,Once,Low,Pansion,33,65,77,92,58,50,37,250000,No,1 hours,No,2.94,67.9
134,13-15 years,male,Bangla,Worker,Home maker,Three Children,primary,primary,0-0.5 km,School Bus/Bus,Paraffin,Water,None,Mediam,Casual Wage,57,63,20,65,54,88,25,500000,No,0 to 30 minutes,Yes,2.66,68.6
135,10-13 years,female,Bangla,Public sector,Home maker,Three Children,primary,secondary,0.5-1 km,Private car,Electricity,Water,Once,High,Formal Wage,20,22,84,39,74,77,52,650000,No,above 3 hours,No,2.63,61.4
136,10-13 years,male,English,Immigrant,Home maker,Two Children,secondary,None,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,Remittance,36,76,62,68,47,92,28,500000,Yes,3 hours,No,2.92,70.6
137,15-18 years,female,Bangla,Agriculture,Home maker,Four or more,primary,secondary,4-5 km,Rickshaw,Electricity,Teaching facilities,Once,Mediam,Farming,67,79,46,92,42,87,37,450000,No,above 3 hours,No,3.21,90.6
138,15-18 years,male,Bangla,Public sector,Home maker,Four or more,secondary,primary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Formal Wage,88,70,65,32,23,59,56,900000,Yes,0 to 30 minutes,No,2.81,73.8
139,15-18 years,male,Bangla,Worker,Home maker,None,secondary,Honors/Equivalent ,0.5-1 km,Walk,Electricity,Teaching facilities,Once,Low,Casual Wage,91,92,79,44,90,26,77,900000,No,2 hours,No,3.56,74.4
140,10-13 years,male,Bangla,Immigrant,Business,Two Children,secondary,secondary,2-3 km,Private car,Electricity,Teaching facilities,Once,Low,Remittance,30,23,81,63,35,30,38,180000,Yes,1 hours,Yes,2.14,61.9
141,13-15 years,female,Bangla,Immigrant,Home maker,Two Children,secondary,secondary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,Remittance,28,74,62,20,45,84,63,300000,Yes,2 hours,No,2.69,63.6
142,13-15 years,female,Bangla,Freelancer ,Home maker,None,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,Own business,39,81,55,40,70,73,78,350000,No,above 3 hours,No,3.11,78.5
143,10-13 years,female,Bangla,Agriculture,Home maker,Four or more,secondary,secondary,2-3 km,Walk,Electricity,Water,None,High,Farming,71,30,92,30,34,42,33,700000,Yes,2 hours,No,2.37,72.6
144,13-15 years,female,Bangla,Private sector,Worker,Two Children,secondary,secondary,0.5-1 km,Bicycle/motorbike,Other,Water,None,High,Casual Wage,30,51,40,31,42,83,29,150000,Yes,above 3 hours,Yes,2.19,68.6
145,13-15 years,female,Bangla,Worker,Home maker,Four or more,secondary,secondary,2-3 km,Bicycle/motorbike,Electricity,Water,None,High,Casual Wage,47,82,46,88,51,38,75,900000,No,above 3 hours,No,3.05,81.9
146,10-13 years,male,Bangla,Business,Worker,Two Children,primary,secondary,4-5 km,Bicycle/motorbike,Other,Toilet,None,High,Own business,52,87,88,28,90,80,37,150000,Yes,1 hours,No,3.3,93.6
147,13-15 years,male,Bangla,Freelancer ,Home maker,None,primary,Honors/Equivalent ,6-7 km,Rickshaw,Electricity,Teaching facilities,None,High,Own business,22,70,28,38,81,37,23,700000,Yes,2 hours,No,2.14,65.2
148,15-18 years,female,Bangla,Freelancer ,Home maker,Three Children,Masters/ Equivalent and above,secondary,1-2 km,Walk,Electricity,Teaching facilities,Once,High,Own business,55,45,45,77,64,42,58,600000,Yes,above 3 hours,No,2.76,68.4
149,13-15 years,female,Bangla,Agriculture,Home maker,None,primary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,Farming,67,90,23,40,52,31,29,350000,Yes,above 3 hours,No,2.37,62
150,10-13 years,female,Bangla,Public sector,Freelancer,None,primary,secondary,6-7 km,Walk,Electricity,Toilet,None,Low,Formal Wage,57,75,88,36,33,88,65,850000,No,0 to 30 minutes,Yes,3.16,90.4
151,10-13 years,others,Bangla,Worker,Worker,Two Children,primary,secondary,4-5 km,School Bus/Bus,Other,Water,None,High,Casual Wage,75,82,48,23,66,86,31,220000,No,1 hours,No,2.94,64.9
152,13-15 years,male,Bangla,Immigrant,Worker,None,secondary,Masters/Equivalent and above,1-2 km,Walk,Electricity,Toilet,None,Mediam,Remittance,77,69,23,53,44,63,68,250000,No,0 to 30 minutes,Yes,2.84,72.5
153,13-15 years,male,Bangla,Immigrant,Home maker,Two Children,primary,primary,6-7 km,Walk,Electricity,Toilet,Once,Low,Remittance,21,81,61,24,45,67,91,750000,No,3 hours,No,2.79,55.4
154,13-15 years,female,Bangla,Public sector,Immigrant,None,primary,primary,0.5-1 km,Walk,Electricity,Teaching facilities,None,High,Formal Wage,74,51,24,27,58,57,34,150000,No,3 hours,Yes,2.32,50.3
155,10-13 years,female,Bangla,Immigrant,Home maker,Three Children,None,Honors/Equivalent ,0.5-1 km,School Bus/Bus,Paraffin,Teaching facilities,None,Low,Remittance,67,43,40,80,65,23,60,550000,Yes,1 hours,No,2.7,64.3
156,15-18 years,male,Bangla,Business,Freelancer,Four or more,secondary,secondary,1-2 km,School Bus/Bus,Electricity,Water,Once,Low,Own business,46,38,28,69,47,85,81,180000,Yes,3 hours,No,2.81,52
157,15-18 years,male,Bangla,Worker,Freelancer,Three Children,Honors/ Equivalent ,None,>7 km,School Bus/Bus,Other,Teaching facilities,None,High,Casual Wage,40,78,28,82,41,34,39,550000,Yes,2 hours,No,2.44,70.9
158,10-13 years,male,Bangla,Unemployed,Public sector,Two Children,primary,secondary,0-0.5 km,Walk,Other,Water,None,High,Pansion,72,92,86,69,30,44,53,650000,No,2 hours,No,3.19,79.4
159,13-15 years,male,Bangla,Freelancer ,Home maker,None,primary,Honors/Equivalent ,4-5 km,Walk,Electricity,Teaching facilities,None,High,Own business,44,80,90,52,69,58,37,500000,No,3 hours,No,3.07,72.6
160,15-18 years,female,Bangla,Worker,Home maker,Four or more,primary,primary,1-2 km,Walk,Electricity,Teaching facilities,None,Low,Casual Wage,46,62,69,92,58,90,52,750000,No,0 to 30 minutes,Yes,3.35,70
161,15-18 years,female,Bangla,Private sector,Worker,Three Children,secondary,primary,1-2 km,Walk,Other,Teaching facilities,Once,High,Casual Wage,77,88,72,22,56,40,92,220000,No,0 to 30 minutes,Yes,3.19,72.7
162,13-15 years,female,Bangla,Worker,Home maker,Four or more,secondary,secondary,1-2 km,Bicycle/motorbike,Electricity,Toilet,None,High,Casual Wage,71,45,79,70,32,33,88,150000,No,1 hours,Yes,2.99,64.4
163,10-13 years,female,Bangla,Immigrant,Immigrant,Three Children,Honors/ Equivalent ,None,0.5-1 km,Bicycle/motorbike,Paraffin,Water,None,Low,Remittance,34,36,87,66,37,46,67,650000,No,2 hours,Yes,2.66,53
164,10-13 years,male,Bangla,Private sector,Home maker,None,secondary,None,1-2 km,Walk,Electricity,Toilet,None,High,Casual Wage,38,51,76,38,89,49,62,650000,No,2 hours,No,2.88,70.6
165,15-18 years,male,Bangla,Public sector,Business,Four or more,None,secondary,0.5-1 km,Walk,Electricity,Water,None,Mediam,Formal Wage,54,25,39,54,70,85,59,350000,Yes,2 hours,No,2.76,60.6
166,15-18 years,female,Bangla,Immigrant,Home maker,Two Children,Honors/ Equivalent ,secondary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Remittance,66,67,31,20,32,24,68,650000,No,0 to 30 minutes,Yes,2.2,70.3
167,15-18 years,male,Bangla,Private sector,Home maker,Three Children,secondary,secondary,2-3 km,Bicycle/motorbike,Other,Water,None,Low,Casual Wage,59,23,44,81,67,90,86,700000,Yes,3 hours,No,3.21,85.7
168,10-13 years,female,Bangla,Worker,Home maker,Three Children,primary,primary,0.5-1 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,Casual Wage,60,62,20,47,62,50,72,750000,No,3 hours,No,2.66,64.4
169,10-13 years,female,Bangla,Immigrant,Worker,Four or more,primary,secondary,0-0.5 km,Bicycle/motorbike,Paraffin,Toilet,None,Mediam,Remittance,80,24,86,92,53,23,30,600000,No,above 3 hours,Yes,2.77,66
170,15-18 years,male,Bangla,Private sector,Worker,Two Children,primary,secondary,0-0.5 km,Walk,Other,Toilet,None,Low,Casual Wage,54,88,23,73,38,51,36,900000,No,above 3 hours,No,2.59,57.5
171,15-18 years,female,Bangla,Business,Home maker,Three Children,secondary,primary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,Once,Low,Own business,90,91,87,53,80,46,72,180000,No,1 hours,No,3.71,68.1
172,15-18 years,female,Bangla,Worker,Home maker,Two Children,secondary,secondary,4-5 km,Private car,Electricity,Toilet,Once,Low,Casual Wage,20,42,50,81,30,50,63,800000,Yes,2 hours,No,2.4,69.9
173,10-13 years,female,Bangla,Business,Immigrant,Three Children,secondary,primary,4-5 km,Bicycle/motorbike,Paraffin,Electricity,None,Mediam,Own business,52,21,43,72,70,76,34,300000,Yes,0 to 30 minutes,No,2.63,70.7
174,15-18 years,male,Bangla,Worker,Business,Two Children,primary,Honors/Equivalent ,4-5 km,Walk,Electricity,Toilet,Once,Low,Casual Wage,30,81,24,72,78,42,42,800000,No,1 hours,No,2.64,60.2
175,10-13 years,female,Bangla,Immigrant,Worker,None,secondary,secondary,1-2 km,School Bus/Bus,Electricity,Toilet,Once,Mediam,Remittance,26,41,72,44,71,78,90,150000,No,0 to 30 minutes,Yes,3.01,65.8
176,10-13 years,male,Bangla,Private sector,Immigrant,None,primary,secondary,6-7 km,Rickshaw,Electricity,Teaching facilities,None,High,Casual Wage,44,78,86,39,26,73,22,180000,Yes,2 hours,No,2.63,68.4
177,13-15 years,female,English,Worker,Agriculture,Three Children,Masters/ Equivalent and above,secondary,4-5 km,Rickshaw,Electricity,Toilet,None,Mediam,Casual Wage,46,35,79,82,76,22,80,800000,No,0 to 30 minutes,Yes,3,86.5
178,10-13 years,male,Bangla,Unemployed,Business,Three Children,primary,secondary,2-3 km,Walk,Paraffin,Water,None,High,Pansion,25,66,90,39,65,45,89,220000,Yes,0 to 30 minutes,No,2.99,57
179,10-13 years,female,Bangla,Business,Agriculture,Two Children,primary,secondary,0.5-1 km,Walk,Electricity,Water,None,High,Own business,27,60,72,77,48,20,61,350000,No,above 3 hours,No,2.61,58
180,13-15 years,female,Bangla,Worker,Home maker,Two Children,Honors/ Equivalent ,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Water,None,Mediam,Casual Wage,24,32,21,36,45,84,89,550000,Yes,2 hours,No,2.36,69.7
181,10-13 years,female,English,Unemployed,Home maker,Two Children,secondary,secondary,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,Low,Pansion,25,63,54,81,77,45,41,300000,Yes,1 hours,No,2.76,68.2
182,13-15 years,female,Bangla,Public sector,Freelancer,Three Children,Honors/ Equivalent ,secondary,1-2 km,Rickshaw,Electricity,Teaching facilities,None,Low,Formal Wage,71,21,33,53,26,72,63,850000,No,2 hours,No,2.42,59
183,10-13 years,female,Bangla,Business,Freelancer,Two Children,primary,None,0-0.5 km,Bicycle/motorbike,Electricity,Water,Once,High,Own business,63,88,83,51,50,39,46,300000,Yes,above 3 hours,No,3,88.3
184,13-15 years,female,Bangla,Private sector,Home maker,Three Children,primary,secondary,1-2 km,Walk,Electricity,Toilet,None,Mediam,Casual Wage,62,29,89,78,31,40,91,220000,No,1 hours,No,3,80.3
185,13-15 years,male,Bangla,Immigrant,Home maker,Two Children,secondary,secondary,1-2 km,Walk,Paraffin,Toilet,None,Low,Remittance,72,38,74,69,70,39,76,220000,Yes,1 hours,No,3.13,82.7
186,13-15 years,male,Bangla,Agriculture,Worker,Two Children,Masters/ Equivalent and above,Honors/Equivalent ,0-0.5 km,Walk,Paraffin,Water,Once,High,Farming,46,72,72,43,68,43,89,250000,Yes,above 3 hours,No,3.09,72.6
187,15-18 years,male,English,Business,Worker,Four or more,primary,secondary,0-0.5 km,School Bus/Bus,Electricity,Toilet,Once,Mediam,Own business,41,50,71,34,58,27,50,450000,Yes,1 hours,No,2.36,65.3
188,10-13 years,female,Bangla,Immigrant,Home maker,Two Children,Masters/ Equivalent and above,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,Remittance,74,48,84,36,21,43,33,100000,No,1 hours,No,2.42,65.9
189,10-13 years,male,Bangla,Public sector,Home maker,None,secondary,None,0.5-1 km,Bicycle/motorbike,Other,Teaching facilities,None,High,Formal Wage,43,83,35,46,24,43,25,150000,Yes,above 3 hours,No,2.14,69.8
190,13-15 years,female,Bangla,Worker,Public sector,Three Children,Masters/ Equivalent and above,secondary,1-2 km,Rickshaw,Electricity,Teaching facilities,Once,Mediam,Casual Wage,62,47,68,85,66,34,51,200000,Yes,0 to 30 minutes,No,2.95,54.1
191,10-13 years,male,Bangla,Public sector,Private sector,None,secondary,secondary,1-2 km,Bicycle/motorbike,Other,Teaching facilities,Once,Low,Formal Wage,28,72,81,36,65,37,20,250000,Yes,1 hours,No,2.42,60.2
192,13-15 years,male,Bangla,Agriculture,Home maker,Two Children,Honors/ Equivalent ,secondary,0.5-1 km,Bicycle/motorbike,Other,Teaching facilities,None,Mediam,Farming,92,47,74,33,70,60,65,400000,Yes,3 hours,No,3.15,83.5
193,13-15 years,female,Bangla,Immigrant,Freelancer,Three Children,None,Honors/Equivalent ,0.5-1 km,Bicycle/motorbike,Electricity,Toilet,None,Mediam,Remittance,77,25,21,39,75,61,72,550000,Yes,2 hours,Yes,2.64,70.4
194,10-13 years,male,Bangla,Freelancer ,Home maker,Three Children,secondary,secondary,0-0.5 km,Walk,Electricity,Toilet,None,High,Own business,51,30,34,48,54,66,68,700000,No,above 3 hours,No,2.51,56.9
195,10-13 years,male,Bangla,Immigrant,Business,Three Children,secondary,Masters/Equivalent and above,0-0.5 km,Rickshaw,Paraffin,Toilet,Once,High,Remittance,69,57,28,89,45,24,43,180000,No,2 hours,Yes,2.54,72.7
196,13-15 years,female,Bangla,Unemployed,Home maker,Four or more,secondary,Honors/Equivalent ,2-3 km,Bicycle/motorbike,Electricity,Toilet,None,Mediam,Pansion,91,73,66,79,81,36,40,500000,No,1 hours,No,3.33,83.1
197,10-13 years,female,Bangla,Business,Home maker,None,Masters/ Equivalent and above,secondary,0-0.5 km,Private car,Paraffin,Teaching facilities,Once,Low,Own business,92,53,25,86,55,26,86,700000,No,3 hours,No,3.02,88
198,10-13 years,female,Bangla,Worker,Public sector,Two Children,secondary,secondary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Casual Wage,41,65,50,75,22,34,40,250000,Yes,0 to 30 minutes,No,2.34,59.5
199,13-15 years,male,Bangla,Public sector,Home maker,None,secondary,secondary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Formal Wage,50,40,76,25,62,34,28,900000,Yes,1 hours,No,2.25,70.1
200,13-15 years,female,Bangla,Immigrant,Home maker,Two Children,secondary,secondary,1-2 km,Bicycle/motorbike,Electricity,Toilet,Once,Mediam,Remittance,26,24,88,35,53,44,31,250000,Yes,2 hours,No,2.15,56.4
201,10-13 years,male,Bangla,Business,Home maker,Three Children,Honors/ Equivalent ,secondary,0.5-1 km,School Bus/Bus,Paraffin,Teaching facilities,None,High,Own business,68,38,79,78,87,48,39,180000,No,3 hours,No,3.12,88.1
202,10-13 years,female,Bangla,Immigrant,Home maker,Two Children,Masters/ Equivalent and above,secondary,>7 km,Walk,Electricity,Toilet,None,High,Remittance,46,20,71,51,21,66,62,200000,No,0 to 30 minutes,Yes,2.41,53.3
203,15-18 years,male,Bangla,Private sector,Home maker,None,Honors/ Equivalent ,None,0.5-1 km,Rickshaw,Electricity,Toilet,Once,Low,Casual Wage,77,28,90,73,32,91,67,200000,Yes,1 hours,No,3.27,85.6
204,15-18 years,male,Bangla,Agriculture,Home maker,Four or more,primary,secondary,0-0.5 km,Walk,Other,Teaching facilities,None,Mediam,Farming,80,53,52,73,33,50,32,180000,No,3 hours,No,2.66,56.3
205,13-15 years,female,Bangla,Public sector,Home maker,Two Children,Honors/ Equivalent ,secondary,2-3 km,School Bus/Bus,Paraffin,Toilet,None,High,Formal Wage,45,38,29,50,53,66,35,500000,Yes,0 to 30 minutes,No,2.26,67.8
206,13-15 years,female,Bangla,Agriculture,Home maker,Three Children,primary,secondary,0.5-1 km,Rickshaw,Electricity,Electricity,None,Mediam,Farming,70,57,89,87,38,62,63,450000,Yes,3 hours,No,3.33,87.7
207,10-13 years,male,Bangla,Worker,Freelancer,None,secondary,primary,6-7 km,Rickshaw,Other,Teaching facilities,None,High,Casual Wage,52,90,59,78,65,60,55,550000,No,above 3 hours,No,3.28,69.7
208,13-15 years,male,Bangla,Freelancer ,Private sector,None,primary,primary,>7 km,Rickshaw,Electricity,Toilet,None,Low,Own business,52,37,59,85,63,36,82,800000,No,1 hours,No,2.96,64.5
209,13-15 years,female,Bangla,Freelancer ,Worker,None,primary,secondary,2-3 km,School Bus/Bus,Electricity,Water,Once,Low,Own business,73,36,57,65,35,53,90,300000,Yes,3 hours,No,2.92,64.9
210,10-13 years,male,Bangla,Private sector,Public sector,Two Children,primary,secondary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,Casual Wage,84,57,39,47,58,31,38,350000,Yes,2 hours,No,2.53,54.7
211,13-15 years,female,Bangla,Freelancer ,Agriculture,Two Children,Masters/ Equivalent and above,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,None,Mediam,Own business,52,67,21,62,61,76,24,550000,No,1 hours,No,2.59,70.8
212,10-13 years,female,Bangla,Immigrant,Home maker,Two Children,primary,primary,6-7 km,Private car,Electricity,Toilet,None,High,Remittance,62,59,65,66,79,60,78,650000,Yes,3 hours,No,3.35,75.8
213,13-15 years,female,Bangla,Immigrant,Home maker,Three Children,secondary,secondary,1-2 km,Bicycle/motorbike,Paraffin,Teaching facilities,Once,High,Remittance,49,37,75,38,49,81,59,180000,No,1 hours,Yes,2.77,54.7
214,10-13 years,female,English,Public sector,Public sector,None,primary,secondary,4-5 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Formal Wage,52,21,45,92,55,78,69,180000,Yes,0 to 30 minutes,Yes,2.94,52.9
215,13-15 years,male,English,Business,Home maker,None,primary,secondary,1-2 km,Bicycle/motorbike,Electricity,Toilet,None,High,Own business,89,64,60,73,23,91,70,200000,Yes,above 3 hours,No,3.36,89.6
216,15-18 years,female,Bangla,Private sector,Home maker,Two Children,Honors/ Equivalent ,Honors/Equivalent ,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,Low,Casual Wage,47,81,44,64,75,84,54,250000,Yes,1 hours,No,3.21,67.1
217,15-18 years,male,Bangla,Private sector,Home maker,None,primary,secondary,0-0.5 km,Rickshaw,Electricity,Teaching facilities,None,Low,Casual Wage,85,61,86,86,92,26,50,850000,No,3 hours,No,3.47,83.7
218,13-15 years,female,Bangla,Business,Home maker,None,secondary,Honors/Equivalent ,>7 km,Walk,Electricity,Toilet,None,High,Own business,90,23,58,75,48,75,51,250000,No,1 hours,No,3,92.8
219,13-15 years,female,Bangla,Worker,Freelancer,Two Children,primary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,None,High,Casual Wage,76,78,57,53,53,34,68,250000,Yes,0 to 30 minutes,No,2.99,62.5
220,13-15 years,male,Bangla,Immigrant,Home maker,Three Children,primary,secondary,0.5-1 km,Private car,Electricity,Teaching facilities,None,Mediam,Remittance,52,81,42,90,43,46,29,700000,No,3 hours,No,2.74,63.8
221,10-13 years,female,Bangla,Business,Worker,Two Children,secondary,None,2-3 km,Private car,Other,Toilet,Once,High,Own business,60,72,69,65,29,45,47,150000,No,0 to 30 minutes,Yes,2.76,73
222,10-13 years,female,Bangla,Immigrant,Home maker,Two Children,secondary,secondary,0-0.5 km,Private car,Electricity,Teaching facilities,Once,High,Remittance,62,83,43,46,85,68,20,180000,Yes,3 hours,Yes,2.91,57.8
223,13-15 years,female,Bangla,Private sector,Home maker,None,primary,secondary,4-5 km,Walk,Electricity,Toilet,Once,High,Casual Wage,91,92,38,43,32,88,83,550000,Yes,1 hours,No,3.34,65.4
224,10-13 years,female,Bangla,Worker,Agriculture,Two Children,Masters/ Equivalent and above,secondary,1-2 km,School Bus/Bus,Other,Water,Once,Low,Casual Wage,73,78,57,79,62,24,44,500000,No,1 hours,No,2.98,71
225,10-13 years,male,Bangla,Immigrant,Immigrant,Three Children,primary,Honors/Equivalent ,4-5 km,Rickshaw,Electricity,Water,None,High,Remittance,58,91,52,81,68,47,87,250000,Yes,1 hours,Yes,3.46,89.9
226,10-13 years,male,Bangla,Business,Business,None,primary,secondary,1-2 km,Private car,Electricity,Teaching facilities,None,Low,Own business,85,21,90,92,69,78,60,750000,Yes,1 hours,No,3.54,67.7
227,13-15 years,male,Bangla,Worker,Home maker,Three Children,Honors/ Equivalent ,secondary,0.5-1 km,Bicycle/motorbike,Other,Water,None,Mediam,Casual Wage,71,40,40,76,33,24,68,300000,No,1 hours,No,2.51,63.2
228,10-13 years,male,English,Public sector,Home maker,Three Children,Honors/ Equivalent ,secondary,>7 km,Private car,Electricity,Toilet,None,High,Formal Wage,24,22,90,71,47,54,63,180000,No,2 hours,No,2.65,50.3
229,13-15 years,female,Bangla,Business,Home maker,Two Children,primary,None,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,Once,Low,Own business,51,61,66,39,32,43,85,800000,No,2 hours,No,2.69,58.4
230,13-15 years,female,Bangla,Freelancer ,Home maker,Four or more,primary,Honors/Equivalent ,0.5-1 km,Rickshaw,Other,Toilet,Once,High,Own business,92,77,38,45,37,41,22,100000,No,0 to 30 minutes,Yes,2.51,61.7
231,10-13 years,male,Bangla,Public sector,Home maker,Three Children,secondary,None,1-2 km,Bicycle/motorbike,Electricity,Water,None,High,Formal Wage,46,84,78,46,62,88,92,800000,Yes,1 hours,No,3.54,95
232,10-13 years,female,Bangla,Worker,Home maker,None,Honors/ Equivalent ,primary,0-0.5 km,Private car,Electricity,Teaching facilities,Once,High,Casual Wage,65,82,50,92,78,25,55,500000,Yes,3 hours,No,3.19,85.1
233,10-13 years,male,English,Worker,Home maker,Two Children,primary,secondary,0.5-1 km,School Bus/Bus,Other,Toilet,None,Low,Casual Wage,84,67,31,28,84,40,81,200000,Yes,1 hours,No,2.96,66.9
234,10-13 years,male,English,Agriculture,Home maker,Three Children,primary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,High,Farming,48,51,70,52,86,63,62,600000,Yes,3 hours,No,3.09,89.4
235,13-15 years,male,Bangla,Worker,Freelancer,Three Children,secondary,secondary,1-2 km,Walk,Electricity,Teaching facilities,Once,High,Casual Wage,39,68,77,70,31,63,29,750000,Yes,above 3 hours,No,2.69,54.7
236,13-15 years,female,Bangla,Unemployed,Home maker,Two Children,Honors/ Equivalent ,secondary,2-3 km,Rickshaw,Other,Teaching facilities,None,Low,Pansion,73,84,82,48,26,73,47,400000,No,2 hours,No,3.09,79.6
237,10-13 years,female,Bangla,Worker,Home maker,Two Children,primary,secondary,6-7 km,Walk,Paraffin,Toilet,None,Mediam,Casual Wage,84,60,74,89,66,89,21,900000,Yes,above 3 hours,No,3.45,66.8
238,13-15 years,female,Bangla,Worker,Home maker,Four or more,secondary,None,1-2 km,Walk,Electricity,Teaching facilities,None,High,Casual Wage,55,74,89,39,57,67,54,450000,No,3 hours,No,3.11,69.2
239,13-15 years,female,Bangla,Private sector,Home maker,None,primary,None,0.5-1 km,Walk,Electricity,Water,None,Low,Casual Wage,47,59,63,90,68,21,75,900000,Yes,2 hours,No,3.02,90.7
240,15-18 years,female,Bangla,Agriculture,Home maker,Three Children,Masters/ Equivalent and above,secondary,0.5-1 km,School Bus/Bus,Electricity,Water,Once,High,Farming,59,43,56,51,50,73,45,850000,No,0 to 30 minutes,Yes,2.69,64.8
241,10-13 years,female,Bangla,Agriculture,Business,Three Children,primary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,Mediam,Farming,75,76,64,52,34,26,28,100000,Yes,above 3 hours,No,2.54,61.2
242,15-18 years,male,Bangla,Worker,Immigrant,Two Children,primary,secondary,0-0.5 km,Private car,Electricity,Teaching facilities,None,Low,Casual Wage,77,47,55,53,56,39,87,300000,Yes,0 to 30 minutes,No,2.96,51.7
243,13-15 years,female,Bangla,Immigrant,Home maker,Two Children,secondary,secondary,2-3 km,Walk,Electricity,Toilet,None,Mediam,Remittance,55,33,28,82,43,34,31,220000,Yes,1 hours,No,2.19,63
244,10-13 years,male,Bangla,Private sector,Home maker,Two Children,primary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Toilet,None,Mediam,Casual Wage,35,32,55,30,75,80,90,450000,No,0 to 30 minutes,Yes,2.84,52.8
245,13-15 years,male,Bangla,Public sector,Public sector,None,secondary,primary,0.5-1 km,School Bus/Bus,Other,Teaching facilities,None,Mediam,Formal Wage,83,59,59,57,25,48,36,150000,Yes,2 hours,No,2.62,62.5
246,10-13 years,female,Bangla,Unemployed,Home maker,Two Children,Honors/ Equivalent ,None,2-3 km,Rickshaw,Electricity,Teaching facilities,None,Low,Pansion,20,45,60,25,73,62,92,200000,Yes,above 3 hours,No,2.69,68.6
